area_title,occ_title,tot_emp
Alabama,Insurance Sales Agents,"5,630"
Alabama,"Securities, Commodities, and Financial Services Sales Agents","2,640"
Alabama,Travel Agents,400
Alabama,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","8,090"
Alabama,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","2,460"
Alabama,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","22,050"
Alabama,Demonstrators and Product Promoters,**
Alabama,Real Estate Brokers,240
Alabama,Real Estate Sales Agents,"1,810"
Alabama,Sales Engineers,300
Alabama,Telemarketers,"1,810"
Alabama,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",50
Alabama,Office and Administrative Support Occupations,"253,500"
Alabama,First-Line Supervisors of Office and Administrative Support Workers,"20,920"
Alabama,"Switchboard Operators, Including Answering Service","1,030"
Alabama,Bill and Account Collectors,"2,630"
Alabama,Billing and Posting Clerks,"4,690"
Alabama,"Bookkeeping, Accounting, and Auditing Clerks","19,950"
Alabama,Payroll and Timekeeping Clerks,"1,690"
Alabama,Procurement Clerks,510
Alabama,Tellers,"8,630"
Alabama,"Financial Clerks, All Other",190
Alabama,Brokerage Clerks,440
Alabama,Correspondence Clerks,50
Alabama,"Court, Municipal, and License Clerks","2,180"
Alabama,"Credit Authorizers, Checkers, and Clerks",560
Alabama,Customer Service Representatives,"34,820"
Alabama,"Eligibility Interviewers, Government Programs","2,980"
Alabama,File Clerks,630
Alabama,"Hotel, Motel, and Resort Desk Clerks","4,750"
Alabama,"Interviewers, Except Eligibility and Loan","3,460"
Alabama,"Library Assistants, Clerical",970
Alabama,Loan Interviewers and Clerks,"2,450"
Alabama,New Accounts Clerks,410
Alabama,Order Clerks,640
Alabama,"Human Resources Assistants, Except Payroll and Timekeeping","1,160"
Alabama,Receptionists and Information Clerks,"14,100"
Alabama,Reservation and Transportation Ticket Agents and Travel Clerks,420
Alabama,"Information and Record Clerks, All Other","1,060"
Alabama,Cargo and Freight Agents,910
Alabama,Couriers and Messengers,"1,090"
Alabama,Public Safety Telecommunicators,"2,550"
Alabama,"Dispatchers, Except Police, Fire, and Ambulance","2,710"
Alabama,"Meter Readers, Utilities",600
Alabama,Postal Service Clerks,"1,290"
Alabama,Postal Service Mail Carriers,"5,650"
Alabama,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",970
Alabama,"Production, Planning, and Expediting Clerks","3,340"
Alabama,"Shipping, Receiving, and Inventory Clerks","7,340"
Alabama,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","1,190"
Alabama,Executive Secretaries and Executive Administrative Assistants,"3,310"
Alabama,Legal Secretaries and Administrative Assistants,"3,040"
